created_at,PM2.5,PM10,NO2,CO
01-12-2020 01:00,84.25,166.5,62.1,1.3
01-12-2020 02:00,77.5,147.75,52,1.14
01-12-2020 03:00,73.75,144,65.12,1.28
01-12-2020 04:00,78.75,180.5,63.98,1.35
01-12-2020 05:00,85,183,64.38,1.06
01-12-2020 06:00,79.25,181.5,56.62,0.84
01-12-2020 07:00,81,163,48.45,0.69
01-12-2020 08:00,84.5,150.5,46.72,0.68
01-12-2020 09:00,79,146.25,38.5,0.53
01-12-2020 10:00,56.75,112,37.5,0.47
01-12-2020 11:00,49,106,31.25,0.37
01-12-2020 12:00,36,78,30.55,0.31
01-12-2020 13:00,31.25,77.25,28.38,0.45
01-12-2020 14:00,26,80.5,27.43,0.38
01-12-2020 15:00,28.5,70.25,26.95,0.36
01-12-2020 16:00,34.25,70.75,26.55,0.33
01-12-2020 17:00,29,71.25,26.18,0.28
01-12-2020 18:00,31.25,77.5,31.67,0.37
01-12-2020 19:00,40.75,91.25,42.68,0.6
01-12-2020 20:00,50.5,110.5,48.6,0.79
01-12-2020 21:00,54.75,112,52.38,0.87
01-12-2020 22:00,57.75,116.5,57.42,1.04
01-12-2020 23:00,71.5,135,68.9,1.19
02-12-2020 00:00,76.75,149.25,68.45,1.15
02-12-2020 01:00,73.25,147.5,61.48,1.11
02-12-2020 02:00,81.75,147.5,55.73,0.94
02-12-2020 03:00,75,135.5,45.7,0.74
02-12-2020 04:00,64.75,110,40.95,0.64
02-12-2020 05:00,60.5,102.5,37.02,0.59
02-12-2020 06:00,63.25,114,39.85,0.76
02-12-2020 07:00,76.75,140.25,39.45,0.85
02-12-2020 08:00,77.25,163,51.98,1.17
02-12-2020 09:00,73.75,184.5,69.67,1.21
02-12-2020 10:00,68.75,162.75,42.58,0.65
02-12-2020 11:00,37.25,90.5,34.98,0.46
02-12-2020 12:00,34.75,81.25,32.2,0.34
02-12-2020 13:00,33.25,76.25,28.92,0.3
02-12-2020 14:00,32.75,77.25,31.05,0.27
02-12-2020 15:00,40.5,79.5,30.85,0.25
02-12-2020 16:00,46.25,85.5,29.5,0.25
02-12-2020 17:00,41.75,94.5,27.85,0.32
02-12-2020 18:00,46.25,115,34.98,0.43
02-12-2020 19:00,58.5,145.25,42.3,0.61
02-12-2020 20:00,77.5,173.75,44.97,0.71
02-12-2020 21:00,85.25,178,49.6,0.77
02-12-2020 22:00,83.75,184.75,49.4,0.72
02-12-2020 23:00,77.5,186.5,54.23,0.76
03-12-2020 00:00,80.25,176.25,49.85,0.58
03-12-2020 01:00,80,141.5,42.05,0.33
03-12-2020 02:00,69.5,117.25,39.8,0.32
03-12-2020 03:00,72.5,119.25,41.9,0.29
03-12-2020 04:00,68.5,113.5,38.5,0.3
03-12-2020 05:00,71,115,39.9,0.38
03-12-2020 06:00,74.5,124.25,39.52,0.4
03-12-2020 07:00,76.25,126.25,43,0.43
03-12-2020 08:00,79,144,65.32,0.84
03-12-2020 09:00,85.25,182,77.77,1.1
03-12-2020 10:00,85.25,174.5,58.15,0.96
03-12-2020 11:00,78.25,174.25,47.62,0.79
03-12-2020 12:00,61.25,126,46.2,0.69
03-12-2020 13:00,47,101.25,39.77,0.58
03-12-2020 14:00,32.75,91.5,30.88,0.52
03-12-2020 15:00,42,90.75,32.4,0.5
03-12-2020 16:00,35.5,75,30.2,0.45
03-12-2020 17:00,36.25,72.75,32.08,0.48
03-12-2020 18:00,41,69.75,41.3,0.67
03-12-2020 19:00,40,89.5,56.73,0.94
03-12-2020 20:00,59.25,126,80.58,1.5
03-12-2020 21:00,72.75,164.75,86.18,1.68
03-12-2020 22:00,74.5,174.5,68.6,1.4
03-12-2020 23:00,73,152,62.35,1.16
04-12-2020 06:00,73,118,41.8,0.5
04-12-2020 07:00,74,121.5,41.4,0.5
04-12-2020 08:00,78.25,134.75,44.3,0.58
04-12-2020 09:00,82.5,152,46.08,0.78
04-12-2020 10:00,83.5,177.75,45.67,0.73
04-12-2020 11:00,75.75,159.25,42.6,0.72
04-12-2020 12:00,49.75,107,39.55,0.57
04-12-2020 13:00,28.5,80,31.12,0.31
04-12-2020 14:00,31,68.75,32.52,0.27
04-12-2020 15:00,31.75,61.5,31.4,0.23
04-12-2020 16:00,26.25,60.75,31.07,0.2
04-12-2020 17:00,27.75,62.5,28.45,0.32
04-12-2020 18:00,22,65.5,34.6,0.44
04-12-2020 19:00,27.75,83.25,54.27,0.77
04-12-2020 20:00,39.75,100.75,62.45,0.99
04-12-2020 21:00,57,125.25,70.35,1.24
04-12-2020 22:00,76.75,156.25,70.03,1.29
04-12-2020 23:00,78.75,149.75,66.5,1.19
05-12-2020 00:00,66.75,128.5,65.1,1.03
05-12-2020 01:00,60.25,131.25,57.38,0.82
05-12-2020 02:00,61,128.5,43.02,0.61
05-12-2020 03:00,59,109.5,36.6,0.51
05-12-2020 04:00,54.5,110.75,37.35,0.46
05-12-2020 05:00,60,112.25,34.68,0.4
05-12-2020 06:00,61.5,113,34.33,0.36
05-12-2020 07:00,56.75,94,38.17,0.4
05-12-2020 08:00,58.5,99.75,40.48,0.53
05-12-2020 09:00,63.5,123,40.9,0.55
05-12-2020 10:00,52.75,109.5,28.95,0.48
05-12-2020 11:00,41.75,93.5,27.05,0.35
05-12-2020 12:00,38,85,26.9,0.31
05-12-2020 13:00,36.75,80,24.32,0.2
05-12-2020 14:00,31.25,73.5,23.98,0.18
05-12-2020 15:00,27.25,72.5,22.95,0.16
05-12-2020 16:00,29.5,72,24,0.15
05-12-2020 17:00,26.5,69,25.4,0.28
05-12-2020 18:00,32.5,85,35.08,0.48
05-12-2020 19:00,40.5,116.5,51.2,0.77
05-12-2020 20:00,55,152.75,59.15,1.07
05-12-2020 21:00,69.25,168.75,66.85,1.27
05-12-2020 22:00,76.75,173,66.65,1.31
05-12-2020 23:00,78,167.75,50.88,1.02
06-12-2020 00:00,71.25,155.5,44.98,0.78
06-12-2020 01:00,58,131.5,43.38,0.64
06-12-2020 02:00,50.75,107.25,41.08,0.57
06-12-2020 03:00,46,98,38.95,0.5
06-12-2020 04:00,41.75,84.5,32.92,0.43
06-12-2020 05:00,37.75,76.75,29.32,0.43
06-12-2020 06:00,39.25,69.75,29.75,0.4
06-12-2020 07:00,47.25,81,36.35,0.48
06-12-2020 08:00,51.5,93,36.33,0.56
06-12-2020 09:00,56,108.75,37.2,0.63
06-12-2020 10:00,63.25,125,31.93,0.68
06-12-2020 11:00,56.5,110,28.2,0.67
06-12-2020 12:00,50.5,97.25,25.55,0.59
06-12-2020 13:00,43.5,83.75,23.92,0.4
06-12-2020 14:00,35.5,76,22.32,0.33
06-12-2020 15:00,31,68.5,20.27,0.28
06-12-2020 16:00,22,55.5,20.52,0.23
06-12-2020 17:00,21.25,57.25,20.17,0.32
06-12-2020 18:00,22,61.25,28.95,0.5
06-12-2020 19:00,34.25,74.75,40.47,0.74
06-12-2020 20:00,45,91.25,54.75,0.98
06-12-2020 21:00,49.25,108,62.98,1.09
06-12-2020 22:00,55.25,115.75,72.3,1.36
06-12-2020 23:00,67.5,142.25,73.28,1.57
07-12-2020 00:00,82.25,169.25,57,1.19
07-12-2020 01:00,74,136.5,43.35,0.83
07-12-2020 02:00,62.5,119.5,35.08,0.65
07-12-2020 03:00,53.25,96,32.25,0.48
07-12-2020 04:00,47.5,83.25,30.33,0.47
07-12-2020 05:00,47,83.25,26.95,0.43
07-12-2020 06:00,50,90,27.07,0.46
07-12-2020 07:00,50.5,90.5,32.65,0.52
07-12-2020 08:00,53.5,96.25,35,0.63
07-12-2020 09:00,57.75,109.5,29.82,0.58
07-12-2020 10:00,53.5,102,22.82,0.48
07-12-2020 11:00,40.75,77.5,24.1,0.51
07-12-2020 12:00,33.75,84.75,22.7,0.58
07-12-2020 13:00,30.25,77.75,17.1,0.03
07-12-2020 14:00,23,60.5,18.27,0.2
07-12-2020 15:00,24,60.75,17.1,0.15
07-12-2020 16:00,16.75,49.25,0,0.15
07-12-2020 17:00,15.25,55.5,27.9,0.46
07-12-2020 18:00,23.5,72.25,37.85,0.64
07-12-2020 19:00,30.25,104,53.12,0.85
07-12-2020 20:00,41,119.25,64.12,1.03
07-12-2020 21:00,52.75,129.25,60.57,0.83
07-12-2020 22:00,52,128.25,54.67,0.81
07-12-2020 23:00,52.5,121,57.92,0.75
08-12-2020 00:00,58.5,119.25,63.7,0.83
08-12-2020 01:00,72.25,131.25,63.15,0.8
08-12-2020 02:00,73.5,130.25,68.3,0.81
08-12-2020 03:00,72.5,127.5,57.7,0.81
08-12-2020 04:00,63.75,107,52.8,0.79
08-12-2020 05:00,63.25,105.75,50.73,0.84
08-12-2020 06:00,70.25,108.5,45.75,0.69
08-12-2020 07:00,59.5,96.25,43.23,0.46
08-12-2020 08:00,53.25,85.25,43.02,0.5
08-12-2020 09:00,60.5,107.5,53.97,0.73
08-12-2020 10:00,64.75,138,48.3,0.65
08-12-2020 11:00,42.5,107,38.97,0.52
08-12-2020 12:00,30.25,75.75,39.2,0.4
08-12-2020 13:00,23.5,70.5,34.6,0.33
08-12-2020 14:00,16.75,62,35.1,0.26
08-12-2020 15:00,9.75,51,35.7,0.26
08-12-2020 16:00,11.75,53.25,35.5,0.26
08-12-2020 17:00,20.75,53.5,34.02,0.39
08-12-2020 18:00,24.25,61.25,38.65,0.44
08-12-2020 19:00,29.75,68.5,67.97,0.75
08-12-2020 20:00,35.25,92.25,105.9,1.03
08-12-2020 21:00,41.5,111,79.9,0.94
08-12-2020 22:00,59.75,135.75,76.4,1.17
08-12-2020 23:00,66.25,156.75,89.33,1.48
09-12-2020 00:00,71.5,160.75,97.17,1.47
09-12-2020 01:00,76.25,164.5,101.33,1.39
09-12-2020 02:00,73.5,158.5,94.92,1.16
09-12-2020 03:00,68.75,162.25,101.12,1.38
09-12-2020 04:00,84,182,94.25,1.31
09-12-2020 05:00,77.5,159.75,84.17,0.98
09-12-2020 06:00,72.5,134,70.82,0.76
09-12-2020 07:00,64,126,66.47,0.71
09-12-2020 08:00,69.5,136.5,66.03,0.72
09-12-2020 09:00,67,129.5,66.2,0.72
09-12-2020 10:00,59,115,59.35,0.61
09-12-2020 11:00,37,91,54.02,0.51
09-12-2020 12:00,25.5,81.75,44.5,1.68
09-12-2020 13:00,16,67.25,38.02,0.45
09-12-2020 14:00,23.75,73.25,29.8,0.35
09-12-2020 15:00,12.25,56.25,25.1,0.29
09-12-2020 16:00,15.75,64.75,25.25,0.29
09-12-2020 17:00,16.25,60.5,22.9,0.36
09-12-2020 18:00,23,65.75,39.67,0.44
09-12-2020 19:00,36,94.5,65.72,0.78
09-12-2020 20:00,47.25,116,77.03,0.9
09-12-2020 21:00,45,106.75,93.15,1.14
09-12-2020 22:00,49,124.5,112.5,1.76
09-12-2020 23:00,60.5,149.25,103.3,1.71
10-12-2020 00:00,57.75,135.75,83.35,1.39
10-12-2020 01:00,53.25,130.75,72,1.08
10-12-2020 02:00,53,137.75,77,0.94
10-12-2020 03:00,58.75,141.5,77.33,0.89
10-12-2020 04:00,59.75,143.25,81.82,1.12
10-12-2020 05:00,64.5,160,86.35,1.23
10-12-2020 06:00,61.25,145.5,75.35,0.97
10-12-2020 07:00,58,118.25,71.28,0.86
10-12-2020 08:00,61.25,112,64.9,0.74
10-12-2020 09:00,54.5,113,62.25,0.71
10-12-2020 10:00,57.75,124.25,59.7,0.68
10-12-2020 11:00,51.5,117.75,50.17,0.6
10-12-2020 12:00,42,104.5,51.1,0.62
10-12-2020 13:00,34.25,97,42.72,0.54
10-12-2020 14:00,29,78.5,42.88,0.41
10-12-2020 15:00,29.5,74.5,40.1,0.38
10-12-2020 16:00,30.75,68.75,38.92,0.37
10-12-2020 17:00,29.25,73.25,34.55,0.33
10-12-2020 18:00,28.5,74.5,41.75,0.39
10-12-2020 19:00,34,86.25,50.95,0.55
10-12-2020 20:00,38.75,94.75,67.33,0.82
10-12-2020 21:00,47,110.25,66.45,0.88
10-12-2020 22:00,56,116.5,66.95,0.96
10-12-2020 23:00,53.25,117.75,41.83,0.65
11-12-2020 00:00,44.5,93.75,36.65,0.49
11-12-2020 01:00,40.5,72.75,30.15,0.3
11-12-2020 02:00,33.75,59.5,28.73,0.31
11-12-2020 03:00,37.75,70,29.77,0.32
11-12-2020 04:00,42.5,79.5,31.73,0.33
11-12-2020 05:00,42,81,34.35,0.36
11-12-2020 06:00,45.75,79.75,32.17,0.36
11-12-2020 07:00,46,76,30.85,0.36
11-12-2020 08:00,43.5,78.75,34.38,0.41
11-12-2020 09:00,52.25,87,35.15,0.29
11-12-2020 10:00,51,93.25,37.68,0.35
11-12-2020 11:00,54.25,103.5,35.25,0.25
11-12-2020 12:00,25.25,75,34.95,0.2
11-12-2020 13:00,19.5,65.25,34.62,0.31
11-12-2020 14:00,25.75,62.25,35.73,0.26
11-12-2020 15:00,21.5,59.75,35.28,0.23
11-12-2020 16:00,21.75,61.5,36.25,0.29
11-12-2020 17:00,26.75,69.5,38.98,0.42
11-12-2020 18:00,27,76,42.42,0.48
11-12-2020 19:00,32.75,92.5,49.55,0.61
11-12-2020 20:00,42.75,100.75,63.97,0.84
11-12-2020 21:00,50,115.5,67.4,0.87
11-12-2020 22:00,55.75,124,55.75,0.89
11-12-2020 23:00,56.25,119,44.25,0.82
12-12-2020 00:00,62,129.5,64.38,0.92
12-12-2020 01:00,67.25,142.75,48.52,0.59
12-12-2020 02:00,61,110.5,38.67,0.45
12-12-2020 03:00,48.75,96.75,33.5,0.4
12-12-2020 04:00,47,91.5,31.52,0.33
12-12-2020 05:00,43.25,78.75,32.62,0.34
12-12-2020 06:00,40,78.25,29.1,0.29
12-12-2020 07:00,38.5,69.75,28.07,0.3
12-12-2020 08:00,44.25,72.75,31.32,0.34
12-12-2020 09:00,49.75,84,31.32,0.27
12-12-2020 10:00,54.25,88,32.7,0.28
12-12-2020 11:00,55.75,107.5,39.62,0.48
12-12-2020 12:00,60.5,120.5,37.6,0.36
12-12-2020 13:00,42,89.5,33.15,0.41
12-12-2020 14:00,44.75,83,33.33,0.33
12-12-2020 15:00,41.5,84,33.62,0.31
12-12-2020 16:00,35.75,80.5,35.8,0.36
12-12-2020 17:00,40.75,87.75,36.85,0.33
12-12-2020 18:00,43,90,38.62,0.37
12-12-2020 19:00,53,102.5,47.27,0.53
12-12-2020 20:00,57.5,114.5,56.08,0.69
12-12-2020 21:00,65.5,123.25,65.55,0.99
12-12-2020 22:00,77.5,137.5,56.27,0.96
12-12-2020 23:00,81.75,140,38.85,0.77
13-12-2020 00:00,79,133.25,35.55,0.66
13-12-2020 01:00,72.75,131,37.38,0.52
13-12-2020 02:00,71,127.5,33.12,0.5
13-12-2020 03:00,67.25,115.5,33.88,0.5
13-12-2020 04:00,66.75,112.5,34.55,0.47
13-12-2020 05:00,69.5,115.5,38.1,0.5
13-12-2020 06:00,64.5,110.25,38.08,0.48
13-12-2020 07:00,73.75,110.5,44.02,0.56
13-12-2020 08:00,77.25,116.25,39.23,0.63
13-12-2020 09:00,75.25,117.5,39.88,0.57
13-12-2020 10:00,82.75,134,34.92,0.5
13-12-2020 11:00,74,123.75,35.22,0.52
13-12-2020 12:00,63.75,114.25,32.9,0.44
13-12-2020 13:00,50.75,97.25,31.68,0.46
13-12-2020 14:00,49.25,96.5,32.58,0.4
13-12-2020 15:00,46.75,91,33.98,0.39
13-12-2020 16:00,46.75,87,33.95,0.42
13-12-2020 17:00,46.5,83.5,32.25,0.4
13-12-2020 18:00,40,82.75,36.17,0.45
13-12-2020 19:00,47.5,96.5,48.25,0.64
13-12-2020 20:00,63.5,133.5,61.83,0.91
13-12-2020 21:00,72.25,139.25,61.12,0.83
13-12-2020 22:00,74.25,132.5,56.3,0.75
13-12-2020 23:00,71.75,131,57.38,0.83
14-12-2020 00:00,76.75,137.75,53.17,0.77
14-12-2020 01:00,63.25,124.75,34.18,0.63
14-12-2020 02:00,50.75,102,31,0.56
14-12-2020 03:00,47,88.25,28.03,0.52
14-12-2020 04:00,46,83.25,28.3,0.48
14-12-2020 05:00,44,83.25,26.38,0.22
14-12-2020 06:00,47.75,82.75,27.12,0.24
14-12-2020 07:00,49.5,87.5,26.5,0.26
14-12-2020 08:00,49,86.75,28.5,0.3
14-12-2020 09:00,53.5,94.25,30.55,0.48
14-12-2020 10:00,59,111.25,32.3,0.53
14-12-2020 11:00,58.75,113.75,32.58,0.49
14-12-2020 12:00,49,108.75,32.4,0.45
14-12-2020 13:00,46,102.5,30.88,0.4
14-12-2020 14:00,34.5,89,30.65,0.33
14-12-2020 15:00,27.25,68.75,31.32,0.29
14-12-2020 16:00,29.5,63.25,31.23,0.3
14-12-2020 17:00,32.25,65.5,28.67,0.33
14-12-2020 18:00,30.75,73,43.8,0.51
14-12-2020 19:00,45.25,118,52.27,0.71
14-12-2020 20:00,55.5,137.5,48.55,0.77
14-12-2020 21:00,58.75,115,49.53,0.76
14-12-2020 22:00,62.75,115.5,44.35,0.71
14-12-2020 23:00,58,112.5,39.83,0.64
15-12-2020 00:00,54.5,97.5,42.55,0.58
15-12-2020 01:00,53,95.25,42.67,0.35
15-12-2020 12:00,32,96.25,29.3,0.34
15-12-2020 13:00,31.5,86.25,25.73,0.39
15-12-2020 14:00,30.5,78.75,26.78,0.34
15-12-2020 15:00,30.75,71.75,27.62,0.35
15-12-2020 16:00,27.25,75,28.02,0.34
15-12-2020 17:00,29,82.5,28.4,0.41
15-12-2020 18:00,32.5,74,34.58,0.51
15-12-2020 19:00,37.75,91.75,44.45,0.71
15-12-2020 20:00,50.75,104.25,51.9,0.89
15-12-2020 21:00,60.75,121.75,55.65,0.92
15-12-2020 22:00,78,137,58.25,1.02
15-12-2020 23:00,86.25,139.5,59.45,1.1
16-12-2020 00:00,82.5,142.25,67.35,1.13
16-12-2020 01:00,80.25,153.25,48.42,0.89
16-12-2020 02:00,84.25,148,37.27,0.77
16-12-2020 03:00,77.5,149.25,33.02,0.72
16-12-2020 04:00,80,151.5,32.85,0.7
16-12-2020 05:00,75.75,147.25,30.9,0.57
16-12-2020 06:00,79.25,147,28.85,0.57
16-12-2020 07:00,77,142.5,35.32,0.6
16-12-2020 08:00,82.5,135.75,31.5,0.61
16-12-2020 09:00,74,127.25,30.38,0.67
16-12-2020 10:00,76.5,120.25,32.15,0.64
16-12-2020 11:00,65.5,117,33.45,0.7
16-12-2020 12:00,64,121.75,35.6,0.69
16-12-2020 13:00,63.5,115.25,33.7,0.44
16-12-2020 14:00,61.5,105.25,33.2,0.36
16-12-2020 15:00,54,96.75,32.08,0.32
